A,B,C,D,E,F
11,35.97,34,599.44,-71.934,-69.4658
15,52.48,7,139.97,8.02957,8.91773
5,12.13,34,599.29,2.16313,6.65739
6,16.51,30,531.43,28.9756,84.1511
9,28.3,1,38.18,-1.96818,-2.26413
12,39.97,16,293.43,-40.7686,-83.5878
5,11.99,0,21.49,10.88,8.81048
17,60.56,20,361.2,-40.3051,-40.3051
31,116.27,34,599.38,30.0979,82.6929
17,60.06,1,38.08,38.0357,81.5677
15,52.39,30,531.2,26.4928,11.7954
32,120.23,4,89.09,65.3559,27.7419
16,56.05,30,531.06,83.1825,11.6905
29,108.32,35,616.2,32.1183,35.6709
31,116.14,12,225.49,66.9669,11.8081
2,0.12,29,514.49,15.5639,10.8979
13,44.28,37,650.54,-69.9584,-29.6955
16,56.09,28,497.35,0.65606,0.754709
23,84.07,19,344.16,50.5496,69.5754
34,128.14,37,650.44,51.7309,32.3251
34,128.2,13,242.4,-25.6458,-20.7676
14,48.49,35,616.2,16.7758,24.8711
3,4.35,36,633.4,-10.1766,-6.35903
28,104.48,20,361.16,-53.3893,-22.6624
39,148.54,7,140.53,-46.8067,-43.6479
25,92.27,3,72.27,-3.81248,-5.87069
34,128.56,14,258.99,1.50942,1.31212
25,92.22,34,599.18,13.7773,15.8489
31,116.46,26,463.2,-52.6575,-49.1039
1,-3.44,17,310.17,-62.2292,-69.1124
0,-7.5,3,72.32,2.78155,1.12382
17,60.55,28,497,-47.2368,-48.9151
0,-7.46,28,497.23,29.9771,41.2598
21,75.99,10,191.16,59.046,61.1438
19,68.35,10,191.54,-54.1634,-71.8772
10,32.07,11,208.11,23.294,60.6827
23,84.31,4,89.08,73.2069,63.6377
14,48.26,6,123.52,-44.0985,-27.5558
24,88.38,19,344.44,0,0
18,64.36,6,123.25,-45.3111,-55.9545
6,16.16,18,327.34,69.4271,22.5582
4,8.05,37,649.97,9.42884,5.66541
29,108.03,16,293.52,10.181,18.367
32,120.54,37,650,14.1069,19.4164
31,116.11,8,157.06,-17.614,-54.2102
37,141.38,28,497.32,-43.2644,-23.0041
38,144.24,21,378.04,-74.2731,-55.9688
13,44.53,10,191.46,37.9668,20.1873
5,12.04,13,242.51,-11.0819,-14.1842
3,4.5,24,429.09,9.37171,32.6829
1,-3.92,20,360.98,31.9543,33.0896
14,48.21,30,531.04,-45.1047,-19.1458
31,116.42,26,463.31,-53.9162,-77.0003
37,140.21,17,310.47,-43.8406,-43.8406
20,71.99,5,106.21,-30.9732,-44.2342
23,84.56,31,548.52,29.2542,27.2799
19,68.23,34,599.46,23.0126,9.76827
7,20.13,15,276.43,-28.5317,-9.2705
36,136.05,17,310.02,7.31354,6.81998
25,92.47,10,191.2,11.8038,23.1662
3,4.18,7,140.23,-1.31512,-2.69638
36,136.53,37,650.2,-12.5267,-19.2894
21,76.02,38,667.05,2.08398,2.15802
1,-3.64,1,38.28,1.62695,3.65418
19,67.99,34,599.38,-38.3133,-19.5216
21,76.37,14,259.37,-25.2177,-56.6398
39,148.12,19,344.45,-61.8862,-53.7968
30,112.28,13,242.17,-35.1439,-21.1165
1,-3.91,7,140.31,-66.0574,-53.4922
26,96.03,18,327.09,-46.7287,-39.21
4,8.17,7,140.55,17.3205,9.99999
1,-3.72,32,565.09,70.3895,35.8652
21,76.38,33,582.23,-37.5322,-5.94451
15,52.52,9,174.39,25.0858,65.3506
38,144.25,11,208.25,-42.4264,-42.4264
3,4.53,23,412.19,-16.8573,-41.7233
0,-7.75,15,277.49,-42.1785,-76.0919
35,132.51,28,496.97,56.5686,56.5685
25,92.32,17,310.43,25.4415,15.8976
10,32.37,15,276.5,-10.199,-4.12067
16,56.41,4,89.36,95.1649,27.2881
14,48.56,11,208.06,1.54512,2.5715
8,24.47,18,327.13,41.2599,29.977
38,144.05,18,327.52,30.9732,44.2342
3,4.33,21,378.47,8.5961,20.2511
18,64.55,18,327.11,32.3936,60.9234
25,92,8,157.33,-43.925,-33.0998
21,76.5,2,55.08,-98.0365,-13.7781
22,80.36,33,582.38,-3.69397,-4.72806
21,76.14,16,293.11,33.5468,21.7855
8,24.35,28,497.04,-69.0567,-66.6872
36,136.18,4,89.22,-39.2825,-17.4897
37,140.47,14,259.48,71.3495,85.0309
17,60.33,14,259.47,-29.7991,-8.54475
30,112.48,38,667.03,24.0893,51.6595
16,56.43,0,21.13,4.93844,0.782172
