A,B,C,D
1,31,48.16,403.28
2,12,55.01,175.34
3,5,62.33,91.04
4,0,69.3,31.25
5,36,76.33,463.21
6,17,83.16,235.25
7,12,90.3,175.28
8,11,97.25,163.22
9,13,104.36,187.11
10,9,111.25,139.01
11,26,118.14,343.31
12,33,124.98,427.19
13,18,132.28,247.01
14,8,139.21,127.14
15,16,146.14,223.21
16,27,152.99,355
17,14,160.06,199.06
18,30,167,391.07
19,8,174.19,127.36
20,19,181.06,259.08
21,30,188.06,391.03
22,39,195.2,499.2
23,9,202.12,139.18
24,30,209.17,390.98
25,29,215.99,379.25
26,12,223.22,175.1
27,5,230.29,91.22
28,11,237.3,163.24
29,6,244.05,103.02
30,17,251.32,235.09
31,21,258.32,283.21
32,13,265.14,187.11
33,10,272.19,151.1
34,2,279.03,55.3
35,7,286.18,115.11
36,34,293.23,439.23
37,36,300.17,463.31
38,37,307.31,475.21
39,13,314.01,187.19
40,32,321.1,415.14
41,32,328.07,415.13
42,27,334.99,355.16
43,35,342.34,451.05
44,34,349.34,439.19
45,26,356.09,343.29
46,23,363.11,307.07
47,21,370.02,283.33
48,37,377.24,475.24
49,22,384.34,295.03
50,0,391.27,31.22
51,10,398.35,151.18
52,28,405.04,367.33
53,3,412.11,67.23
54,29,419.15,379.14
55,32,426.33,415.2
56,29,433.21,378.98
57,10,440.35,151.36
58,36,447.31,463
59,30,454.21,391.37
60,24,461.2,319.19
61,26,468.37,343.08
62,5,475.13,91.28
63,14,482.26,199.17
64,17,489.32,235.24
65,17,496.06,235.21
66,28,503.26,367.15
67,26,510.05,343.31
68,1,517.17,43.23
69,2,524.16,55.23
70,21,531.24,283.02
71,2,538.28,55.15
72,24,545.3,319.14
73,1,552.09,43.1
74,8,559.05,127.13
75,25,566.32,331.01
76,16,573.04,223.11
77,26,580.03,343.05
78,17,587.25,235.05
79,22,594.37,295
80,28,601.22,367.31
81,33,608.16,427.14
82,22,615.1,295.26
83,10,622.27,151.3
84,13,629.31,187.22
85,27,636.29,355.05
86,10,643.11,151.34
87,18,650.27,247.04
88,36,657.03,463.17
89,37,664.07,475.25
90,15,671.04,211.23
91,30,678.03,391.08
92,35,685.25,451.27
93,19,692.05,259.16
94,15,700,211.06
95,16,706.18,223.02
96,12,713.07,175.06
97,4,720.05,78.99
98,2,727.31,55.24
99,32,734.19,415.12
100,39,741.35,499.08
